,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o
15,15,15,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,70,,,,mean_reciprocal_rank_filtered_with_test,0.1824087873360422,15,84cc6fee,1024.0,Adam,0.0011273566738463,5.0,64.0,uniform_,0.00528717934185,-0.9049698574362228,,True,3.7857345186345566e-10,1.0064326833321794e-11,-0.3554828315973282,-0.2627772791311145,[],[]
16,16,16,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2482368410500427,16,f13cfb17,128.0,Adagrad,0.0264927799235282,4.0,512.0,xavier_normal_,2.056330434212989e-05,-0.3807282889688946,lp,False,2.515908888805464e-17,0.0634286409054418,0.4049724210053682,0.2268275907263159,[],[]
17,17,17,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0200733072777436,17,a37ce446,512.0,Adagrad,0.0070917781846516,0.0,16.0,uniform_,0.1400639952599674,-0.0372453803218807,lp,False,0.0187835235203288,5.089007969864397e-09,0.1485942108556628,-0.0980138257145881,[],[]
18,18,18,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.034356047252593,18,1103a166,256.0,Adam,0.1668975756023834,10.0,128.0,xavier_uniform_,0.0003511242351794,-0.5598685815207474,lp,True,2.1700480319851363e-14,7.986546397767607e-19,-0.1041095769032836,0.3760289717465639,[],[]
19,19,19,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0006845523735244,19,81a36e45,512.0,Adagrad,0.0005848873476956,1.0,256.0,normal_,0.3672924124280473,-0.2987858804916683,,True,8.477920302666041e-20,1.893165633487985e-14,0.3381614424288273,-0.1402948843315243,[],[]
20,20,20,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0498393732902498,20,bca3ca12,256.0,Adam,0.083778880202247,8.0,16.0,xavier_uniform_,0.0017477365243993,-0.7916251769568771,lp,False,1.1235005476788285e-07,3.001317579669825e-05,-0.4149946216493845,0.3544672587886452,[],[]
21,21,21,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.2466082344240091,21,e355d3b7,1024.0,Adam,0.0060933961016801,8.0,256.0,xavier_uniform_,0.036875306065342,-0.6341669812252838,lp,False,4.200843913440686e-12,1.2345774725253406e-07,-0.1703352043405175,-0.4754704032093286,[],[]
22,22,22,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.2474012354754776,22,fbec7914,128.0,Adagrad,0.8715380423469897,3.0,32.0,xavier_normal_,7.903597759494243e-05,-0.1426408830242976,lp,True,9.703477832107508e-05,7.873511137707015e-17,0.0906943948939442,0.0036076270043849,[],[]
23,23,23,7522b935,fb15k-237,complex,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1090161961233782,23,9476d179,512.0,Adam,0.0690944576532507,4.0,32.0,xavier_uniform_,8.977679764146269e-05,-0.0831371348709798,lp,False,1.0418805090496696e-06,2.167105791819161e-05,-0.4841794557869434,-0.3442201390862465,[],[]
24,24,24,7522b935,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0045484788131605,24,033d4078,256.0,Adagrad,0.0004828373242881,6.0,256.0,uniform_,0.0225218869319963,-0.5766161001245211,,True,2.188922478378323e-18,3.5200620234155306e-15,0.2788013648241758,0.1300477851182222,[],[]
