job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,rotate.entity_embedder.regularize_weight,rotate.relation_embedder.regularize_weight,rotate.entity_embedder.dropout,rotate.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg,rotate.l_norm
7bcb23b1,umls,rotate,0,search,negative_sampling,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.6917046388965443,37,35150524,256.0,Adam,0.016904288306956842,2.0,256.0,normal_,0.0007954604189065337,-0.10426301322769371,lp,False,7.617781653742098e-13,1.87713762476676e-19,0.29212483391165733,-0.05531412176787853,[],[],8.658146550878882,1.0
7bcb23b1,umls,rotate,1,search,negative_sampling,valid,200,,,,mean_reciprocal_rank_filtered_with_test,0.8334885111615702,39,581e6c09,1024.0,Adam,0.020844257861266886,3.0,16.0,xavier_uniform_,0.49753335220667183,-0.4738406470506731,lp,False,8.321150597225186e-11,1.353968267877846e-14,0.0481063649058342,0.00857266504317522,[],[],6.529254838824272,2.0
7bcb23b1,umls,reciprocal_relations_model,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.8538571223159509,36,94dd57ee,128.0,Adagrad,0.0006294794434901497,9.0,512.0,uniform_,3.823532936377446e-05,-0.8833237959199864,,True,4.6231138001953086e-20,2.9504360200160423e-06,-0.49563725106418133,-0.4038362614810467,[],[],1.4620446413755417,1.0
7bcb23b1,umls,reciprocal_relations_model,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.1387835309549343,41,f5b40990,512.0,Adam,0.007953205902414084,9.0,512.0,xavier_uniform_,1.5139763780378502e-05,-0.7702682276729401,lp,False,5.807773731020252e-12,5.0985018769190345e-20,0.3669484769925475,0.20573959313333035,[],[],2.9148829635232687,1.0
7bcb23b1,umls,rotate,0,search,negative_sampling,valid,250,,,,mean_reciprocal_rank_filtered_with_test,0.7780803376180263,40,19727682,256.0,Adagrad,0.7245169710475952,4.0,16.0,xavier_normal_,0.29117527541176935,-0.36859845434340643,lp,True,0.04469728579400465,2.639557702213993e-09,-0.18461525719612837,-0.3202414968982339,[],[],7.845040624961257,2.0
7bcb23b1,umls,rotate,1,search,negative_sampling,valid,125,,,,mean_reciprocal_rank_filtered_with_test,0.796557186571367,42,b6f17011,1024.0,Adagrad,0.0004858548299386391,0.0,256.0,normal_,0.0019850715471556556,-0.24074834816535928,,True,3.510558783468963e-19,0.00016026898180865483,-0.4134970670565963,0.36675412952899933,[],[],6.966148912906647,1.0
7bcb23b1,umls,reciprocal_relations_model,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.6238588204413104,44,e1ecf27f,128.0,Adam,0.044176505007381114,7.0,32.0,uniform_,0.009327219677874043,-0.6515694961710461,lp,False,2.4936720758468514e-09,3.2353939388603224e-15,0.1070608077570796,-0.22149038966745138,[],[],1.8797126412391663,2.0
7bcb23b1,umls,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2115245421239935,43,f85eada1,1024.0,Adagrad,0.004324991971506026,1.0,64.0,uniform_,0.00019806821051792718,-0.41582457870109935,lp,False,0.0003015231225948277,4.706743797196296e-16,-0.04573222529143095,0.4612934263423085,[],[],5.220583751797676,2.0
7bcb23b1,umls,rotate,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.0922821899133225,38,4264ca36,128.0,Adam,0.16198555189237687,6.0,128.0,normal_,0.027143968910090726,-0.9418827640221548,lp,True,1.530735093373661e-14,9.120680509977582e-08,0.4727743109688163,-0.07530702278017998,[],[],0.3097761422395706,1.0
7bcb23b1,umls,rotate,1,search,negative_sampling,valid,65,,,,mean_reciprocal_rank_filtered_with_test,0.8074848198451878,46,18995834,512.0,Adam,0.0020358613440593235,10.0,16.0,xavier_uniform_,0.00016977440038859457,-0.5737663532557897,,True,1.0304001610417945e-06,0.0040039428976573746,0.24853129219263792,0.12255213689059019,[],[],4.899634560570121,2.0
