,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg
14,14,14,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,285,,,,mean_reciprocal_rank_filtered_with_test,0.1014346307385229,14,cfb9ac8e,256.0,Adam,0.0005039572472289,9.0,16.0,uniform_,0.8183409601412446,-0.2388625980656128,lp,False,2.0778380916773143e-16,6.661179716943346e-18,0.4321844354271889,-0.3800801634788513,[],[],2.4654162209481
15,15,15,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.1815950548679427,15,8b33c393,1024.0,Adam,0.0015291820751019,5.0,64.0,uniform_,0.0237732198885086,-0.8308018481074739,lp,True,0.0006931853793011,5.9991644056678256e-12,-0.3730218419805169,-0.3103065630421042,[],[],2.0549835357815027
16,16,16,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.2537837828806672,16,ad1d8b94,256.0,Adagrad,0.8329500058302046,3.0,512.0,xavier_normal_,3.228267574243813e-05,-0.3480483902125711,lp,False,4.92529477218161e-18,0.0765680972266453,0.1490335408598184,0.2415809975937008,[],[],9.599355617538096
17,17,17,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1062355478774593,17,58e52b70,512.0,Adagrad,0.0079169448055878,1.0,16.0,uniform_,0.12971620601896,-0.0347971011799294,,False,8.921869408823604e-10,1.679655647927404e-06,0.3961647823452949,-0.2337055411189794,[],[],5.351310987025499
18,18,18,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,130,,,,mean_reciprocal_rank_filtered_with_test,0.1171857039269674,18,7dc79ebb,128.0,Adam,0.074615134281065,10.0,256.0,normal_,0.0009081479854409,-0.5207834789526369,lp,True,2.0866193727464105e-14,1.3435890178128604e-16,-0.1101435301825404,0.2870503049343824,[],[],2.885059136897325
19,19,19,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0009154083452096,19,c37a6a0f,512.0,Adagrad,0.000422291378543,0.0,128.0,normal_,0.3628765636383181,-0.3869508557309303,lp,True,3.2528998380655437e-20,6.133602113160367e-15,0.0170437898486852,-0.0553935356438159,[],[],6.993136610835791
20,20,20,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,120,,,,mean_reciprocal_rank_filtered_with_test,0.0676904282951953,20,56062bb9,128.0,Adam,0.147472324484403,8.0,16.0,xavier_uniform_,0.0007375528358843,-0.9325088576300722,lp,False,1.8665872834054065e-06,4.797406694384094e-06,-0.4883675994351506,0.4864238426089287,[],[],4.458601679652929
21,21,21,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2054273707050185,21,5b9f7551,1024.0,Adam,0.0060680603106377,7.0,512.0,xavier_uniform_,0.0089899024689441,-0.7471688108345214,,False,7.42536444474787e-12,6.349267569402297e-11,-0.2433114936575293,-0.4786704266443848,[],[],0.6011820305138826
22,22,22,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,310,,,,mean_reciprocal_rank_filtered_with_test,0.2428965172333903,22,875b17d2,256.0,Adagrad,0.0367428863528836,4.0,32.0,xavier_normal_,4.6003362618042886e-05,-0.198988227066053,lp,True,1.409998644795365e-07,7.95114019183807e-20,0.2776028253138065,0.0317710367962718,[],[],8.057587193325162
23,23,23,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.0400189889473285,23,d5707ea8,512.0,Adam,0.2792511582393419,3.0,32.0,xavier_uniform_,0.0001459127400968,-0.068261622045841,lp,False,8.115492228079469e-05,0.0001417622094229,-0.4320351425558328,-0.3506985511630773,[],[],6.630799118429422
24,24,24,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0150239507731189,24,42f6ccc1,128.0,Adagrad,0.0007980002437624,6.0,512.0,uniform_,0.0057526550770248,-0.6125364717091992,lp,True,1.813573447122065e-19,1.1516007380273803e-14,0.0927816061303019,0.1696683149784803,[],[],4.086040798574686
25,25,25,6db452d6,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.2085793674926931,25,f187e9df,1024.0,Adagrad,0.01939428352076,10.0,32.0,normal_,0.0002311508171265,-0.801523198513072,lp,True,2.5765327891282294e-08,1.6611948807263577e-19,0.3302693823352456,-0.1772919436916709,[],[],0.8536211494356394
26,26,26,6db452d6,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2572852063729683,26,7cf37de2,256.0,Adam,0.0032095489794846,2.0,128.0,xavier_uniform_,0.5574025898508653,-0.2520585088440403,,False,1.749250403747729e-13,2.000283153323625e-09,-0.1790444366633892,0.3741913782432675,[],[],8.320249700918794
