job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,conve.entity_embedder.regularize_weight,conve.relation_embedder.regularize_weight,conve.entity_embedder.dropout,conve.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg,conve.feature_map_dropout,conve.projection_dropout,conve.convolution_bias
38a840aa,umls,conve,1,search,negative_sampling,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.6665228159149732,1,1ed0c88d,512.0,Adagrad,0.6125182876542288,10.0,16.0,normal_,0.001632497530464714,-0.7707689705994446,lp,False,2.1859360468708e-11,6.855169009722132e-06,-0.17425601929426193,0.13403013162314892,[],[],1.45545469596982,0.43056884268298745,0.06761374557390809,False
38a840aa,umls,conve,1,search,negative_sampling,valid,215,,,,mean_reciprocal_rank_filtered_with_test,0.8115245608464341,0,9b2e7b51,1024.0,Adam,0.020730810042305557,0.0,32.0,uniform_,1.1797565891075945e-05,-0.4032502506074681,,True,6.239381279819253e-19,6.956748643416662e-19,-0.4217246640473604,0.43554373644292355,[],[],9.627213515341282,0.3309609233401716,0.28563951468095183,False
38a840aa,umls,conve,1,search,negative_sampling,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.7976325099453604,3,3a6aaca9,128.0,Adagrad,0.0004352147190767126,7.0,256.0,xavier_normal_,0.02747346551600394,-0.7360190958731994,lp,False,9.208212702123563e-07,4.781201844395402e-11,0.20651520416140556,-0.03946715407073498,[],[],4.517169157043099,0.08963602129369974,0.225318961776793,True
38a840aa,umls,conve,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.6974251869997364,4,7254038d,128.0,Adam,0.36054690692444513,5.0,64.0,xavier_uniform_,7.893822110958928e-05,-0.28410948430444105,lp,True,5.41152303758475e-11,0.004160727786397825,0.364481708034873,0.045411987230181694,[],[],2.9986445792019367,0.26283444557338953,0.025147540494799614,False
38a840aa,umls,conve,1,search,negative_sampling,valid,230,,,,mean_reciprocal_rank_filtered_with_test,0.729404332447637,5,47525591,1024.0,Adagrad,0.0040161885097332204,9.0,128.0,uniform_,0.012357565649528023,-0.5778007678455394,lp,False,8.084108607813486e-18,7.870070032671419e-12,-0.009378891438245773,-0.43269831500947475,[],[],7.854725485667586,0.003946678247302771,0.4638859354890883,True
38a840aa,umls,conve,1,search,negative_sampling,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.6920503019555214,6,57eedb7e,512.0,Adam,0.0009674870605650402,1.0,256.0,normal_,0.4194321829736649,-0.1933909309893287,lp,True,9.118109139511267e-16,3.443047326556842e-08,-0.2697225045412779,-0.14046229235827923,[],[],1.0208352003246546,0.23246376821771264,0.18191070621833205,True
38a840aa,umls,conve,1,search,negative_sampling,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.7727428038427435,7,3b95d0f8,256.0,Adagrad,0.06743640611274407,5.0,32.0,xavier_uniform_,0.0007189816128965094,-0.9172541708550044,,False,0.0013635154880530132,5.430751098095248e-17,0.10211963951587677,0.2756362911313772,[],[],6.248391307890415,0.4757236745208502,0.36768484208732843,False
38a840aa,umls,conve,1,search,negative_sampling,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.7904587260053202,2,94773451,256.0,Adam,0.0006256563983734862,8.0,16.0,xavier_uniform_,0.2356051677944497,-0.9492858355349302,,False,1.4167439923407604e-14,1.909818780024854e-12,-0.07482665870338678,-0.44025566056370735,[],[],3.882707068696618,0.30557794217020273,0.266514852643013,True
38a840aa,umls,conve,1,search,negative_sampling,valid,115,,,,mean_reciprocal_rank_filtered_with_test,0.5507550385832055,9,7b2f05e6,512.0,Adagrad,0.038415799171437705,4.0,512.0,uniform_,0.0013095116001663027,-0.15755229983828956,lp,True,0.021147044555409018,0.015704771456889352,0.29711705166846514,0.08523320406675339,[],[],9.011672623455524,0.04861278226599097,0.20525326998904347,False
38a840aa,umls,conve,1,search,negative_sampling,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.8634301870147143,11,c51b8f49,1024.0,Adam,0.5311660051143426,6.0,256.0,uniform_,3.945914226287132e-05,-0.5400317999723647,lp,False,8.227800108434529e-10,1.3355859340106347e-17,0.04452442657202482,0.34719567000865936,[],[],2.0905268378555775,0.21462987223640084,0.4252312066964805,False
38a840aa,umls,conve,1,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.5995035464046923,12,5c113b59,128.0,Adagrad,0.006715792638751601,2.0,32.0,normal_,0.02418011613731412,-0.31811726161592635,lp,True,1.2276916113460727e-16,1.2892179432177716e-07,-0.3293147152289748,-0.24030491337180138,[],[],6.887690043076873,0.4559671711176634,0.11100536491721869,True
38a840aa,umls,conve,1,search,negative_sampling,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.8630627591185774,13,6f59afc6,128.0,Adam,0.09713627747755743,9.0,128.0,xavier_uniform_,8.997318993470792e-05,-0.6474464941325597,lp,False,3.9942486829239166e-20,0.0003983231296120838,-0.24166074115782976,0.23532135039567947,[],[],5.593791492283344,0.1289252694696188,0.1394697204232216,False
