job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,relational_tucker3.entity_embedder.regularize_weight,relational_tucker3.relation_embedder.regularize_weight,relational_tucker3.entity_embedder.dropout,relational_tucker3.relation_embedder.dropout
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0226480085439562,10,8bfc6a57,256.0,Adagrad,0.0003344311802780309,2.0,256.0,xavier_uniform_,0.004962322677741091,-0.7974890093011315,lp,False,6.086314233511466e-06,1.6943318972517308e-15,-0.04492111224681139,-0.2294732378795743
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.3654161125087549,11,db6a8151,512.0,Adam,0.06144610328905585,8.0,512.0,xavier_normal_,0.0018133638747366413,-0.4878588031318225,,False,9.355295543494148e-09,9.578205156933683e-20,0.18924187868833542,0.25910274032503366
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0002142671660207,12,0f2f6266,256.0,Adagrad,0.003651106196381687,0.0,32.0,uniform_,0.03502536479002746,-0.7395841947024502,lp,True,2.910414656141246e-15,0.0034167400572274664,-0.37245259433984756,-0.10939876455813646
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.430213480618099,13,47ab1347,1024.0,Adagrad,0.15642903245924036,4.0,128.0,xavier_uniform_,0.00010564312501030678,-0.9664754764832836,lp,True,0.09029897384942935,9.681186337442161e-10,-0.18433461524546146,0.018554845824837685
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,365,,,,mean_reciprocal_rank_filtered_with_test,0.3332447512179672,14,2130be6a,128.0,Adam,0.0012228238537512052,9.0,16.0,uniform_,0.5496452769910466,-0.21430471672045992,lp,False,5.739933905238503e-19,4.8386278572546235e-12,0.250421991571784,-0.35383622348308563
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0158991917388252,15,5c4e8865,1024.0,Adam,0.0005020024540395538,6.0,32.0,uniform_,0.0075516272617048635,-0.5505026052610855,lp,True,0.001110460048409133,7.218375644713991e-19,-0.3129897229373455,-0.391885245218873
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,220,,,,mean_reciprocal_rank_filtered_with_test,0.3198613347233953,16,2bc15dd7,128.0,Adagrad,0.8031487953774785,1.0,512.0,xavier_normal_,0.000467777199326223,-0.30218745933848434,lp,False,1.0042592472831143e-19,0.02569653699720597,0.24626459553837776,0.22667833790183067
db3a2185,wnrr,relational_tucker3,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0138911459111192,17,479cd7b4,512.0,Adagrad,0.011374891291583405,2.0,16.0,uniform_,0.14184953044983373,-0.028885127390567145,,False,8.275367975886401e-07,3.282336868387254e-11,0.31009974516928196,-0.13583537470549345
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,180,,,,mean_reciprocal_rank_filtered_with_test,0.3674624197248887,18,d51bcfa0,256.0,Adam,0.04148866858770477,10.0,128.0,xavier_uniform_,2.275517165266825e-05,-0.7766538301345147,lp,True,1.5291741052681967e-14,1.6351197898604593e-13,-0.1261229570955038,0.48661968018859625
db3a2185,wnrr,reciprocal_relations_model,1,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0002261630272346,19,bdd188cd,512.0,Adagrad,0.0022113668541453545,4.0,128.0,normal_,0.405570768274324,-0.46132831368691285,lp,True,8.835773645489434e-17,1.424598607720704e-17,0.10651092324405909,-0.017476546578109264
