job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,conve.entity_embedder.regularize_weight,conve.relation_embedder.regularize_weight,conve.entity_embedder.dropout,conve.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,conve.feature_map_dropout,conve.projection_dropout,conve.convolution_bias
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,375,,,,mean_reciprocal_rank_filtered_with_test,0.1924842697417664,10,8d8635b6,128.0,Adagrad,0.008309518343953267,0.0,32.0,normal_,0.005697173080124903,-0.25671412241752256,lp,True,7.498619207819968e-18,2.3070670591982947e-10,-0.43861375469714403,-0.19722828548401594,[],[],0.3612528289668262,0.4847168084233999,False
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,75,,,,mean_reciprocal_rank_filtered_with_test,0.1196694640852224,11,bd472937,128.0,Adam,0.3977741782086177,9.0,128.0,xavier_uniform_,0.001835606252949381,-0.6088787761276215,lp,False,4.85220424635493e-20,1.4196422325008177e-05,-0.01758936233818531,0.13526539038866758,[],[],0.2954561775550246,0.15154795534908772,False
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0315932274680549,12,a75aa5d4,512.0,Adagrad,0.0009962747412604407,3.0,16.0,xavier_normal_,0.021118227968155674,-0.4627655042048171,,True,3.314671873095286e-09,7.242338856712657e-16,0.41828498151153326,-0.3127808263525367,[],[],0.16734028048813343,0.40597562678158283,True
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,130,,,,mean_reciprocal_rank_filtered_with_test,0.2544658729416167,13,195d9a2a,1024.0,Adam,0.00617639564868198,7.0,64.0,normal_,0.5644659210186609,-0.9033600889831036,lp,False,9.446286222581942e-06,9.53328503485183e-08,0.1587170921266079,-0.08804922830313444,[],[],0.43010663939639926,0.35421803733333945,False
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,220,,,,mean_reciprocal_rank_filtered_with_test,0.267259175844739,14,6b09b471,256.0,Adagrad,0.03763546563729229,1.0,256.0,xavier_normal_,6.790124222824252e-05,-0.04265411526519802,lp,True,6.456185102024981e-14,4.4892161684594974e-18,-0.2781626610085368,0.3914911290630698,[],[],0.060281986836344004,0.10760238906368613,True
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.2207789638357214,15,908c98ae,256.0,Adam,0.3429401670413249,0.0,128.0,uniform_,0.028014501988302146,-0.3604991237232834,,False,0.06287486421528363,6.604059779795338e-07,-0.09240909852087498,-0.3730962574481964,[],[],0.4098241585306823,0.1095736506395042,False
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0364655385100335,16,62dc88c4,1024.0,Adagrad,0.0006665054329224882,6.0,16.0,xavier_uniform_,0.001142896657962508,-0.6948432406676188,lp,True,1.821168381489307e-12,1.2955515477488537e-16,0.46966711338609457,0.17653820849955082,[],[],0.037596254143863916,0.3639045241288841,True
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.1823363178776375,17,f9be6223,512.0,Adam,0.007052453953398416,4.0,32.0,xavier_normal_,8.731322920833201e-05,-0.12825802746392778,lp,False,3.7889599026006815e-16,0.00012639770855641197,0.23255998268723488,0.4205565582960844,[],[],0.30203721206635237,0.37659958004951477,False
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.2685090199066153,18,c1f8eb65,128.0,Adagrad,0.05536370837865802,10.0,512.0,normal_,0.3708772397781791,-0.802686395738162,lp,True,1.0980189906870534e-07,2.2888161667522783e-14,-0.3285680366680026,-0.09807204827666283,[],[],0.17247936688363552,0.1300816833972931,True
4090129e,fb15k-237,conve,1,search,negative_sampling,valid,270,,,,mean_reciprocal_rank_filtered_with_test,0.288319594070787,19,81f6eda2,128.0,Adam,0.0013127493265305118,2.0,64.0,normal_,2.813760343009433e-05,-0.0901584648031648,lp,False,3.276333948377505e-11,2.227216105254395e-19,-0.12825452536344528,0.038184331730008125,[],[],0.2343682781793177,0.482676912099123,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,135,,,,mean_reciprocal_rank_filtered_with_test,0.2838061878475192,20,98294529,512.0,Adagrad,0.4919833192471562,7.0,512.0,xavier_normal_,0.10977815338100144,-0.9794359372995328,,True,2.2408163176634227e-19,6.830195837171162e-09,0.3095901096239686,-0.48225147277116776,[],[],0.35367364762350917,0.22933070734143257,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,240,,,,mean_reciprocal_rank_filtered_with_test,0.2219186905207442,21,d24f1372,1024.0,Adam,0.031658574203628526,4.0,256.0,normal_,0.009175050889677325,-0.4200758151251729,lp,False,6.45003733699015e-16,2.409957021787533e-12,0.050603607669472694,-0.24189511314034462,[],[],0.11828594468533993,0.031088269781321287,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1134788458796692,22,89e65f3b,256.0,Adagrad,0.004296173916014265,8.0,16.0,uniform_,0.00034043845681715754,-0.5239609894166422,lp,True,4.4092723184367924e-05,0.06749483902411979,-0.38818921614438295,0.31003483198583126,[],[],0.4968591211363673,0.2766224513761699,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.1554772848276661,23,3fa18d83,256.0,Adam,0.08695376799298997,8.0,32.0,uniform_,0.01753069655049841,-0.5734199084478058,lp,True,1.0001300457270531e-14,5.584632156681212e-11,0.3432915471494198,-0.42303763050585985,[],[],0.12533717788755894,0.4420330747961998,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.2888083487043769,24,ff3f01a2,1024.0,Adagrad,0.012572157815694424,1.0,128.0,xavier_normal_,0.0031324963699649573,-0.49761068487366655,lp,False,2.881907990438949e-06,1.1052441768852257e-19,-0.22054967563599348,0.12107219640165567,[],[],0.2554290881380439,0.18769504874944687,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.2322838001452452,25,b6035515,512.0,Adam,0.0004896803733228689,9.0,512.0,uniform_,5.7070904574863386e-05,-0.931014518005196,,True,5.027084435005016e-10,0.0005526011908639225,-0.4834121484309435,0.3453153343871236,[],[],0.022192659322172403,0.051952611189335585,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.3163041662211291,26,e1511c49,128.0,Adagrad,0.1722531635958974,2.0,64.0,xavier_uniform_,0.9731848870297135,-0.015614319468345461,lp,False,1.448799412326811e-20,1.1848035227518832e-12,0.07942032720893621,-0.16730035189539194,[],[],0.3939780662767589,0.2984786140732467,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.2974622741124893,27,be3bbdaf,128.0,Adam,0.0024502535743801033,6.0,256.0,xavier_normal_,1.0736360537727437e-05,-0.8499480692543555,lp,True,2.450107747985724e-17,1.6380535501347834e-17,0.37739007361233234,0.22670739982277155,[],[],0.4492747625336051,0.08869400573894382,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.2747848610814086,28,b0dec641,512.0,Adagrad,0.02049448168197938,1.0,64.0,xavier_uniform_,0.1676856188175172,-0.2040839280646387,lp,False,1.6844442769420186e-06,2.1186047088073444e-08,-0.05872578639537096,-0.28411631751805544,[],[],0.07212064601480961,0.3420635755173862,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0088255400123302,29,5babf6ed,1024.0,Adam,0.9953706462024213,9.0,16.0,normal_,0.003342251851665827,-0.6447128522254992,lp,True,0.004108737461653391,2.866985340589705e-15,-0.29976944625377655,-0.05523462686687708,[],[],0.3388037900440395,0.4172586314380169,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1799005922307171,30,f6f597f0,256.0,Adagrad,0.0018157923505348066,5.0,256.0,uniform_,0.0005447005351255275,-0.2837577328734938,,False,2.824281716481087e-11,4.060298588355494e-06,0.13735516462475061,0.4865949498489499,[],[],0.21798779303207994,0.1717020384967327,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.0780602091018855,31,3ce8423c,256.0,Adam,0.04825101118733996,9.0,64.0,xavier_normal_,0.09542936068042049,-0.21981416760511696,lp,True,0.039002022039313744,7.880274584116415e-15,0.21188659593462944,0.43065405264496803,[],[],0.4263696316629648,0.282889224588871,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,360,,,,mean_reciprocal_rank_filtered_with_test,0.3051103150841174,32,02ac929c,1024.0,Adagrad,0.007935357166580876,3.0,256.0,xavier_uniform_,2.258364833778461e-05,-0.8356559878662602,lp,False,5.674980430492811e-13,2.5815842994661594e-06,-0.3502535102888942,-0.11154173500835896,[],[],0.048146932385861874,0.03635702282190323,True
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.3096134182527801,33,56cfcde7,512.0,Adam,0.0007708472883970206,7.0,128.0,xavier_normal_,0.00029728122877543554,-0.26893636753268535,,True,2.2055368133424022e-16,2.4689951550757167e-17,-0.10203750617802143,-0.35189797542989254,[],[],0.2836759411729872,0.20334994373843074,False
04f3c48d,fb15k-237,conve,1,search,negative_sampling,valid,140,,,,mean_reciprocal_rank_filtered_with_test,0.1183286329127459,34,3462b523,128.0,Adagrad,0.307204735417728,1.0,16.0,xavier_uniform_,0.007330842534745097,-0.6618802645889297,lp,False,3.207568115535697e-08,8.763396000766657e-09,0.4591544112190604,0.15880367159843445,[],[],0.1637444864027202,0.4576932149939239,True
