,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o
0,0,0,7641e10c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0039846889647045,0,cd96cc5f,256.0,Adam,0.7048806415262477,1.0,128.0,uniform_,0.0024786913935267,-0.5955578011539485,lp,False,0.0716134992109242,7.63424923680258e-12,0.4825159385800361,-0.289026883430779,[],[]
1,1,1,7641e10c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.3194476560272312,1,7cb07889,1024.0,Adam,0.0006904661833996,4.0,64.0,normal_,0.053393628458895,-0.9395986036970652,lp,False,6.528946540790684e-18,5.329256821883183e-19,0.2270533302798867,0.4179016388952732,[],[]
2,2,2,7641e10c,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.108098047766075,2,446ec4de,128.0,Adagrad,0.1270026793194258,6.0,512.0,uniform_,5.448838252958328e-05,-0.4622010473441611,,True,9.982991904570963e-11,8.630515885478601e-10,-0.025581550784409,-0.0768982339650392,[],[]
3,3,3,7641e10c,fb15k-237,complex,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1874954750098018,3,240c27bb,1024.0,Adam,0.0093544867487155,3.0,512.0,xavier_normal_,0.0036450794851016,-0.7089560116569324,lp,True,0.0003779279123449,0.0003218691336948,0.291928319260478,0.3126016026362777,[],[]
4,4,4,7641e10c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.2516002593028229,4,fc11235e,128.0,Adagrad,0.170253485205037,7.0,32.0,normal_,2.9774959199782224e-05,-0.2017745505703706,lp,False,1.6101768245372725e-11,5.1598925841619134e-14,-0.461295697838068,-0.1614175317808985,[],[]
5,5,5,7641e10c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2346160636316652,5,363179bf,512.0,Adagrad,0.0010192075431985,8.0,128.0,xavier_uniform_,0.1986405643470674,-0.3568438160289079,lp,False,2.9000268180384743e-08,2.2396813009301223e-16,-0.2175517929717898,0.0403533373028039,[],[]
6,6,6,7641e10c,fb15k-237,complex,0,search,negative_sampling,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.2411193516983889,6,3ac02d76,256.0,Adam,0.0185777984356064,1.0,32.0,xavier_normal_,0.0002480144307848,-0.8652774371085409,,True,2.247601799036585e-20,1.3817550854032877e-06,0.0434236889705061,-0.4492278695106506,[],[]
7,7,7,7641e10c,fb15k-237,complex,0,search,negative_sampling,valid,225,,,,mean_reciprocal_rank_filtered_with_test,0.216065803660536,7,d2a375d9,1024.0,Adagrad,0.2343378258431861,0.0,32.0,xavier_normal_,0.0005821938078502,-0.9229577744778896,lp,False,1.736823893550545e-12,1.18257085534203e-15,-0.4056587610393762,0.1716648675501346,[],[]
8,8,8,7641e10c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,330,,,,mean_reciprocal_rank_filtered_with_test,0.2578703920284431,8,1a367937,128.0,Adam,0.0128625245990521,10.0,256.0,normal_,0.0593715079366921,-0.4164774972832016,lp,True,1.4602764713192909e-05,1.860215415672346e-06,0.3572679348289966,-0.3228489626199007,[],[]
9,9,9,7641e10c,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,100,,,,mean_reciprocal_rank_filtered_with_test,0.1919789466825278,9,bc687074,512.0,Adam,0.037214757033393,6.0,64.0,normal_,1.2789284481280805e-05,-0.009327995000435,,True,5.74720417499095e-19,8.42398139224078e-09,0.104796034283936,0.4438482904806733,[],[]
