job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,distmult.entity_embedder.regularize_weight,distmult.relation_embedder.regularize_weight,distmult.entity_embedder.dropout,distmult.relation_embedder.dropout,KvsAll.label_smoothing
505815f9,wnrr,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.000398958,19,331c1e59,512,Adagrad,0.000800778,1,512,normal_,0.442357107,-0.405367169,,TRUE,1.60E-18,6.21E-19,0.187364456,-0.379033208,0.152010762
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.002935279,20,76db1086,256,Adam,0.196618461,9,32,uniform_,0.000763734,-0.893193705,lp,FALSE,1.41E-05,0.000155616,-0.44386727,0.365758051,-0.067169388
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.435242665,21,931d8a3d,1024,Adam,0.00552948,5,256,xavier_uniform_,0.014793218,-0.690797173,lp,FALSE,1.85E-13,4.40E-08,-0.068150133,-0.172382945,-0.221315632
505815f9,wnrr,distmult,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.408517353,22,2afc6139,128,Adagrad,0.023497901,5,64,xavier_normal_,8.65E-05,-0.202070855,lp,TRUE,1.21E-07,5.53E-13,0.309144826,0.06462537,0.004966784
505815f9,wnrr,distmult,0,search,KvsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.000656263,23,6e590d24,512,Adam,0.230100394,3,64,normal_,0.000132171,-0.075575413,lp,FALSE,7.15E-05,4.36E-06,-0.379979468,-0.081819116,0.128617685
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.000921404,24,5e6cf970,256,Adagrad,0.000340146,8,256,uniform_,0.034024746,-0.563325059,,TRUE,2.05E-20,3.42E-20,0.246337973,0.157594252,-0.249787185
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.336599251,25,74f3f257,1024,Adagrad,0.033340314,9,32,normal_,0.002105731,-0.766762959,lp,TRUE,3.98E-08,7.11E-12,0.374069277,-0.350997978,-0.094540011
505815f9,wnrr,distmult,0,search,KvsAll,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.449168296,26,917b1d1d,128,Adam,0.002844756,0,512,xavier_uniform_,0.807695843,-0.27795999,lp,FALSE,8.68E-12,2.85E-07,-0.006184931,0.39625554,0.272216982
505815f9,wnrr,distmult,0,search,KvsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.43969807,27,6f0baf84,1024,Adagrad,0.598368919,8,512,normal_,0.000255426,-0.651129057,lp,FALSE,8.04E-17,0.000809605,0.092025536,-0.455651859,0.218967611
505815f9,wnrr,reciprocal_relations_model,1,search,KvsAll,valid,310,,,,mean_reciprocal_rank_filtered_with_test,0.343512176,28,4b773e9f,128,Adam,0.002113606,2,16,xavier_uniform_,0.072731257,-0.147922412,,TRUE,0.001026751,3.26E-18,-0.288462205,0.281488034,-0.002618802
