,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout
10,10,10,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,120,,,,mean_reciprocal_rank_filtered_with_test,0.2114348173073496,10,4a003194,256.0,Adagrad,0.000334431180278,2.0,256.0,xavier_uniform_,0.004962322677741,-0.7974890093011315,lp,False,6.086314233511466e-06,1.6943318972517308e-15,-0.0449211122468113,-0.2294732378795743
11,11,11,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,230,,,,mean_reciprocal_rank_filtered_with_test,0.1910984253591032,11,3ba6a210,512.0,Adam,0.0614461032890558,8.0,512.0,xavier_normal_,0.0018133638747366,-0.4878588031318225,,False,9.355295543494148e-09,9.578205156933685e-20,0.1892418786883354,0.2591027403250336
12,12,12,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0305065475912015,12,9f5887ef,256.0,Adagrad,0.0036511061963816,0.0,32.0,uniform_,0.0350253647900274,-0.7395841947024502,lp,True,2.910414656141246e-15,0.0034167400572274,-0.3724525943398475,-0.1093987645581364
13,13,13,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.3107198827790847,13,57b8ca3d,1024.0,Adagrad,0.1564290324592403,4.0,128.0,xavier_uniform_,0.0001056431250103,-0.9664754764832836,lp,True,0.0902989738494293,9.68118633744216e-10,-0.1843346152454614,0.0185548458248376
14,14,14,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,110,,,,mean_reciprocal_rank_filtered_with_test,0.2700924323228543,14,ce00c17c,128.0,Adam,0.0012228238537512,9.0,16.0,uniform_,0.5496452769910466,-0.2143047167204599,lp,False,5.739933905238503e-19,4.838627857254624e-12,0.250421991571784,-0.3538362234830856
15,15,15,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,140,,,,mean_reciprocal_rank_filtered_with_test,0.2779040412478614,15,649c71b3,1024.0,Adam,0.0005020024540395,6.0,32.0,uniform_,0.0075516272617048,-0.5505026052610855,lp,True,0.0011104600484091,7.218375644713994e-19,-0.3129897229373455,-0.391885245218873
16,16,16,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.3491582404387653,16,263c4b23,128.0,Adagrad,0.8031487953774785,1.0,512.0,xavier_normal_,0.0004677771993262,-0.3021874593384843,lp,False,1.0042592472831144e-19,0.0256965369972059,0.2462645955383777,0.2266783379018306
17,17,17,9470fd2c,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2380214459473909,17,0f8185e8,512.0,Adagrad,0.0113748912915834,2.0,16.0,uniform_,0.1418495304498337,-0.0288851273905671,,False,8.275367975886401e-07,3.2823368683872536e-11,0.3100997451692819,-0.1358353747054934
18,18,18,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.2415453969293556,18,d9e2f9a7,256.0,Adam,0.0414886685877047,10.0,128.0,xavier_uniform_,2.275517165266825e-05,-0.7766538301345147,lp,True,1.5291741052681967e-14,1.6351197898604593e-13,-0.1261229570955038,0.4866196801885962
19,19,19,9470fd2c,fb15k-237,complex,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0056208366609415,19,b6d84045,512.0,Adagrad,0.0022113668541453,4.0,128.0,normal_,0.405570768274324,-0.4613283136869128,lp,True,8.835773645489434e-17,1.424598607720704e-17,0.106510923244059,-0.0174765465781092
