job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,conve.entity_embedder.regularize_weight,conve.relation_embedder.regularize_weight,conve.entity_embedder.dropout,conve.relation_embedder.dropout,conve.feature_map_dropout,conve.projection_dropout,conve.convolution_bias
ffbc9f27,umls,conve,1,search,1vsAll,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.8115477766727377,0,b9627fae,1024.0,Adagrad,0.21390336369000637,10.0,16.0,xavier_normal_,0.0018873247612653649,-0.5211602966800146,lp,False,3.5860968316745983e-16,0.07161349921092429,-0.03248598240315914,0.48251593858003616,0.10548655828461051,0.11003059847280383,False
ffbc9f27,umls,conve,1,search,1vsAll,valid,160,,,,mean_reciprocal_rank_filtered_with_test,0.907015279758196,1,ecdc130e,512.0,Adam,0.018420493197368232,1.0,64.0,uniform_,9.844387887742932e-05,-0.25450956795607693,,True,7.215329469097798e-13,6.528946540790683e-18,-0.40912280790507793,0.22705333027988672,0.4589508194476366,0.24584714975208044,True
ffbc9f27,umls,conve,1,search,1vsAll,valid,95,,,,mean_reciprocal_rank_filtered_with_test,0.2689116776355205,3,d4b04c20,128.0,Adagrad,0.001381714656652208,8.0,128.0,normal_,0.003903109167279497,-0.8527406893676333,lp,False,3.1095194791312257e-10,9.982991904570964e-11,0.07558088190853596,-0.025581550784409046,0.21155088301748037,0.3647953006438911,False
ffbc9f27,umls,conve,1,search,1vsAll,valid,250,,,,mean_reciprocal_rank_filtered_with_test,0.8362256383603336,6,4c183cfa,128.0,Adam,0.6569209528626869,4.0,64.0,xavier_uniform_,1.1481532781737016e-05,-0.4876637228055857,lp,True,3.507658216519438e-07,0.0003779279123449943,0.3688252279534936,0.291928319260478,0.40630080131813884,0.26628835359588265,False
ffbc9f27,umls,conve,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.8603158026385161,2,7ff1120b,512.0,Adagrad,0.002546561845283265,8.0,256.0,uniform_,0.03490679242858966,-0.9052307126928587,lp,False,1.2199676373991448e-14,1.6101768245372725e-11,-0.1467031231150031,-0.461295697838068,0.16929123410955071,0.15490091033279896,True
ffbc9f27,umls,conve,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.5668359300110237,4,00c4f122,1024.0,Adam,0.0004653301321587149,1.0,256.0,uniform_,0.5629854292058171,-0.14039500805607064,lp,True,3.165797514793209e-20,2.9000268180384746e-08,-0.27104283031076193,-0.21755179297178984,0.270176668651402,0.021037558559328318,False
ffbc9f27,umls,conve,1,search,1vsAll,valid,325,,,,mean_reciprocal_rank_filtered_with_test,0.7588507061355685,5,9208ee76,256.0,Adagrad,0.11628956669432503,5.0,16.0,xavier_uniform_,0.000225757947305059,-0.7211073987339158,,False,0.0006192017181569808,2.2476017990365853e-20,0.24423321429640055,0.04342368897050619,0.025386065244674683,0.40207437239587307,True
ffbc9f27,umls,conve,1,search,1vsAll,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.7005679358733944,9,fb3a90e1,256.0,Adam,0.0011222256035549713,9.0,16.0,xavier_uniform_,0.16064279260549305,-0.6469900137314293,,False,9.62248670103449e-19,1.7368238935505443e-12,-0.23300909623503685,-0.40565876103937626,0.33583243377506733,0.44556635012850165,False
ffbc9f27,umls,conve,1,search,1vsAll,valid,375,,,,mean_reciprocal_rank_filtered_with_test,0.8523040022586752,7,ca224c8c,1024.0,Adagrad,0.037498905530219145,5.0,512.0,normal_,0.0007889315598891269,-0.24529193127268922,lp,True,0.07384840931548024,1.4602764713192907e-05,0.2510296441614628,0.35726793482899666,0.08857551869004965,0.06879126001149416,True
ffbc9f27,umls,conve,1,search,1vsAll,valid,110,,,,mean_reciprocal_rank_filtered_with_test,0.9245205744643884,8,b656e9bb,512.0,Adam,0.270813073958238,6.0,128.0,uniform_,5.905264292006576e-05,-0.9786309641325567,lp,False,4.532299270499855e-08,5.74720417499095e-19,0.12765881046652794,0.10479603428393602,0.47192414524033666,0.2005832470022142,False
ffbc9f27,umls,conve,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.396938113347153,12,2184c33e,128.0,Adagrad,0.00785141098075356,2.0,64.0,normal_,0.006805696078506764,-0.38253791259134184,lp,True,6.1846935676896245e-15,2.6634395400367664e-07,-0.3566168583929539,-0.1503791967406869,0.2325131013058126,0.31575794611126184,True
ffbc9f27,umls,conve,1,search,1vsAll,valid,200,,,,mean_reciprocal_rank_filtered_with_test,0.8821289436948812,13,d13eac58,128.0,Adam,0.05690248568361664,10.0,256.0,normal_,2.7776137195474846e-05,-0.7791726152782328,lp,False,5.633026927603452e-12,0.0038947235265209923,-0.08778657112270594,0.4151622671633959,0.39719558227807283,0.2875635586678982,True
ffbc9f27,umls,conve,1,search,1vsAll,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.7528292884124569,11,08a4d51b,512.0,Adagrad,0.0005706957940477963,3.0,32.0,xavier_normal_,0.013793927516264496,-0.3598337329939846,,True,6.186916819519893e-10,6.512277897627163e-15,0.42816443648189306,-0.339427649974823,0.15227340161800385,0.16432456718757749,False
