job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,rescal.entity_embedder.regularize_weight,rescal.relation_embedder.regularize_weight,rescal.entity_embedder.dropout,rescal.relation_embedder.dropout
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.0240505978834741,0,cbbec16f,256.0,Adam,0.10694061627592617,3.0,256.0,normal_,5.8150000637593674e-05,-0.8715221933403425,,False,2.9741600164553485e-07,2.4420721959080016e-19,0.15627537108957767,-0.4335428597405553
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,375,,,,mean_reciprocal_rank_filtered_with_test,0.2731608212147134,1,019ff400,1024.0,Adam,0.0015033794413517453,1.0,64.0,xavier_normal_,0.017633066613407942,-0.5825874013625737,lp,False,1.8000763091844014e-20,8.075656806547509e-13,0.3453393913805485,0.4618705604225397
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.1623481274059025,2,2796f436,128.0,Adagrad,0.31922136935651213,6.0,512.0,uniform_,0.0007817404879090196,-0.3303736738207098,lp,True,0.00308566200491048,2.2801075510515673e-10,-0.2158663235604763,-0.15783919394016266
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.2986207551415027,3,8ea6f25f,1024.0,Adam,0.017008336196824465,0.0,512.0,xavier_normal_,0.009861650776739006,-0.8919850567478873,lp,True,3.380399238471697e-10,2.0266286790449166e-06,0.04807801451534033,0.31448999233543873
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,275,,,,mean_reciprocal_rank_filtered_with_test,0.2472633416203307,4,f5afc19b,128.0,Adagrad,0.03508398888811457,7.0,64.0,normal_,0.0007353885710208998,-0.14819885812381284,,False,3.152616168974095e-13,3.209626999309254e-18,-0.38827498350292444,-0.057974494993686676
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0005596177748611,5,5406291d,512.0,Adagrad,0.0007739188548742803,8.0,128.0,xavier_uniform_,0.22180695017280824,-0.43677508518281394,lp,False,5.3719729085314276e-05,4.7772065902411086e-14,-0.07440933492034674,0.0862869331613183
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0177047342257449,6,4f7cc3da,256.0,Adam,0.7004215003904105,5.0,32.0,normal_,2.9891400669516905e-05,-0.6812603133502881,lp,True,2.4519416269854785e-16,5.349340991924685e-07,0.48497527930885553,-0.2822860823944211
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1978085959776875,7,0783723b,1024.0,Adagrad,0.02286580102665652,3.0,32.0,xavier_normal_,1.6468546315812527e-05,-0.5238052114413492,,False,2.7890783911266283e-12,4.212841341761106e-16,-0.4808113006874919,0.13475501723587513
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.1296223958333333,8,2098c123,128.0,Adam,0.006674944455334591,9.0,128.0,normal_,0.10460778997859611,-0.2798083192451112,lp,True,2.3149801489744568e-09,0.0003734208837002988,0.07906111795455217,-0.4850205257534981
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0117288833674726,9,e09e3429,512.0,Adam,0.5023877199659941,6.0,64.0,normal_,0.00031720677119997947,-0.05321459391391836,lp,True,3.591128513323002e-17,2.677586021605096e-08,0.3919196901842952,0.3942223796620965
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0214557944657559,10,c3d2a973,256.0,Adagrad,0.0003344311802780309,2.0,256.0,xavier_uniform_,0.004962322677741091,-0.7974890093011315,lp,False,6.086314233511466e-06,1.6943318972517308e-15,-0.04492111224681139,-0.2294732378795743
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,125,,,,mean_reciprocal_rank_filtered_with_test,0.1377535665276589,11,3eb47e44,512.0,Adam,0.06144610328905585,8.0,512.0,xavier_normal_,0.0018133638747366413,-0.4878588031318225,,False,9.355295543494148e-09,9.578205156933683e-20,0.18924187868833542,0.25910274032503366
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0005549815634495,12,d3527145,256.0,Adagrad,0.003651106196381687,0.0,32.0,uniform_,0.03502536479002746,-0.7395841947024502,lp,True,2.910414656141246e-15,0.0034167400572274664,-0.37245259433984756,-0.10939876455813646
e314f315,fb15k-237,rescal,0,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.1903394104647847,13,4ef7799a,1024.0,Adagrad,0.15642903245924036,4.0,128.0,xavier_uniform_,0.00010564312501030678,-0.9664754764832836,lp,True,0.09029897384942935,9.681186337442161e-10,-0.18433461524546146,0.018554845824837685
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.2223727071526589,14,e5a8afd2,128.0,Adam,0.0012228238537512052,9.0,16.0,uniform_,0.5496452769910466,-0.21430471672045992,lp,False,5.739933905238503e-19,4.8386278572546235e-12,0.250421991571784,-0.35383622348308563
e314f315,fb15k-237,reciprocal_relations_model,1,search,1vsAll,valid,235,,,,mean_reciprocal_rank_filtered_with_test,0.2962981960186769,15,9c287b2a,1024.0,Adam,0.0005020024540395538,6.0,32.0,uniform_,0.0075516272617048635,-0.5505026052610855,lp,True,0.001110460048409133,7.218375644713991e-19,-0.3129897229373455,-0.391885245218873
