job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transh.entity_embedder.regularize_weight,transh.relation_embedder.regularize_weight,transh.entity_embedder.dropout,transh.relation_embedder.dropout,transh.l_norm
1a72da45,umls,transh,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.108582889,19,40c58891,256,Adam,0.196618461,9,32,uniform_,0.000763734,-0.893193705,lp,FALSE,1.41E-05,0.000155616,-0.44386727,0.365758051,1
1a72da45,umls,transh,1,search,1vsAll,valid,75,,,,mean_reciprocal_rank_filtered_with_test,0.789678094,23,a8dad50d,1024,Adam,0.00552948,5,256,xavier_uniform_,0.014793218,-0.690797173,lp,FALSE,1.85E-13,4.40E-08,-0.068150133,-0.172382945,1
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,345,,,,mean_reciprocal_rank_filtered_with_test,0.809986419,16,12f16970,128,Adagrad,0.023497901,5,64,xavier_normal_,8.65E-05,-0.202070855,lp,TRUE,1.21E-07,5.53E-13,0.309144826,0.06462537,2
1a72da45,umls,reciprocal_relations_model,1,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.79725778,26,4e0cca9e,512,Adam,0.230100394,3,64,normal_,0.000132171,-0.075575413,lp,FALSE,7.15E-05,4.36E-06,-0.379979468,-0.081819116,2
1a72da45,umls,transh,0,search,1vsAll,valid,260,,,,mean_reciprocal_rank_filtered_with_test,0.798507316,25,67752834,256,Adagrad,0.000340146,8,256,uniform_,0.034024746,-0.563325059,,TRUE,2.05E-20,3.42E-20,0.246337973,0.157594252,1
1a72da45,umls,transh,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.058346427,24,f1983f8b,1024,Adagrad,0.033340314,9,32,normal_,0.002105731,-0.766762959,lp,TRUE,3.98E-08,7.11E-12,0.374069277,-0.350997978,1
1a72da45,umls,reciprocal_relations_model,1,search,1vsAll,valid,230,,,,mean_reciprocal_rank_filtered_with_test,0.663144211,27,060be0f3,128,Adam,0.002844756,0,512,xavier_uniform_,0.807695843,-0.27795999,lp,FALSE,8.68E-12,2.85E-07,-0.006184931,0.39625554,2
1a72da45,umls,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.800449676,22,cf1d4231,1024,Adagrad,0.598368919,8,512,normal_,0.000255426,-0.651129057,lp,FALSE,8.04E-17,0.000809605,0.092025536,-0.455651859,2
1a72da45,umls,transh,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.727650274,29,349570cf,128,Adam,0.002113606,2,16,xavier_uniform_,0.072731257,-0.147922412,,TRUE,0.001026751,3.26E-18,-0.288462205,0.281488034,1
1a72da45,umls,transh,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.479396563,31,cdc5d534,512,Adam,0.067136162,4,128,uniform_,1.41E-05,-0.443884392,lp,TRUE,2.52E-15,1.15E-14,-0.160334157,-0.224800214,1
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.789742312,28,5abbbe3a,256,Adagrad,0.013695147,6,32,xavier_normal_,0.004996484,-0.948480049,lp,FALSE,2.44E-09,9.09E-10,0.466277852,0.020118807,2
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.792979141,33,0572ab63,1024,Adam,0.039520233,2,512,xavier_uniform_,0.097406264,-0.184265053,lp,TRUE,7.42E-15,6.29E-11,0.377078573,0.125064613,1
1a72da45,umls,transh,1,search,1vsAll,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.79470095,34,f2e97864,128,Adagrad,0.002972236,8,32,xavier_normal_,0.000190313,-0.672960735,,FALSE,6.00E-09,1.58E-15,-0.245581409,-0.112033614,2
1a72da45,umls,transh,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.678855849,30,aaeecc24,512,Adagrad,0.351623432,6,128,normal_,0.003725159,-0.969625118,lp,FALSE,6.37E-17,1.11E-16,-0.367392311,0.426470045,2
1a72da45,umls,reciprocal_relations_model,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.838666764,35,24294ed3,256,Adam,0.000457694,4,64,xavier_normal_,1.88E-05,-0.481768185,lp,TRUE,0.000694017,0.013898741,0.001391939,-0.318468346,1
1a72da45,umls,reciprocal_relations_model,0,search,1vsAll,valid,110,,,,mean_reciprocal_rank_filtered_with_test,0.78071847,37,57528c9e,512,Adagrad,0.054868187,7,32,uniform_,0.049942678,-0.604542999,lp,TRUE,8.35E-08,1.23E-08,-0.086922734,0.251277764,1
1a72da45,umls,transh,0,search,1vsAll,valid,155,,,,mean_reciprocal_rank_filtered_with_test,0.822023263,36,f447a81a,256,Adam,0.012699686,2,128,xavier_normal_,9.02E-05,-0.100329284,,FALSE,3.00E-11,1.56E-13,0.281597465,-0.488185734,2
