job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transh.entity_embedder.regularize_weight,transh.relation_embedder.regularize_weight,transh.entity_embedder.dropout,transh.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,transh.l_norm
d03489a5,umls,transh,0,search,negative_sampling,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.7703870995644412,0,3cf4efb1,128.0,Adam,0.038271465261478496,1.0,256.0,normal_,0.0005041443570535837,-0.5746373788845167,,False,3.751685059784727e-09,1.4675439149209115e-11,0.2439546724781394,-0.25783792417496443,[],[],2.0
d03489a5,umls,transh,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.5842376428147766,1,d06229f6,1024.0,Adam,0.0003455027633011143,3.0,64.0,normal_,0.013152060932095845,-0.7613201856898331,lp,False,1.9231061957960576e-17,2.1439060824218268e-16,0.4892550678923726,0.26583542115986347,[],[],2.0
d03489a5,umls,reciprocal_relations_model,1,search,negative_sampling,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.6976509328268788,2,70190d24,256.0,Adagrad,0.19970725343327264,5.0,256.0,uniform_,6.434525572987095e-05,-0.30987745356608176,lp,True,0.002565876055392255,1.7497890584559714e-07,-0.017189152538776398,-0.21346729435026646,[],[],1.0
d03489a5,umls,reciprocal_relations_model,1,search,negative_sampling,valid,155,,,,mean_reciprocal_rank_filtered_with_test,0.7279632661971578,3,16c209e2,1024.0,Adam,0.008613659207841391,4.0,512.0,xavier_normal_,0.016192827904717957,-0.6603524433209933,lp,True,5.680769432691531e-07,7.028169162626635e-06,0.10949924867600203,0.4451856203377247,[],[],2.0
d03489a5,umls,transh,0,search,negative_sampling,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.7748506698140337,4,07c24467,256.0,Adagrad,0.04875680920442487,7.0,64.0,normal_,2.299944136042559e-05,-0.14348258532367641,,False,3.1559250063875345e-11,5.866293804086033e-16,-0.3957743290811777,-0.013178825378417969,[],[],1.0
d03489a5,umls,transh,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.6147514296455617,5,923eabe3,512.0,Adagrad,0.002129003280762995,8.0,128.0,xavier_uniform_,0.1820731345073143,-0.4580766343660838,lp,False,7.210749147445558e-06,1.3831193818997747e-20,-0.14888707920908928,0.020810081623494625,[],[],1.0
d03489a5,umls,reciprocal_relations_model,1,search,negative_sampling,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.7991542699146856,6,f3327842,128.0,Adam,0.6951299160918496,1.0,32.0,normal_,0.0013332762209073788,-0.9724459870363772,lp,True,1.2170149854340605e-19,1.6916465800139675e-10,0.37213356886059046,-0.46868607867509127,[],[],2.0
d03489a5,umls,reciprocal_relations_model,1,search,negative_sampling,valid,170,,,,mean_reciprocal_rank_filtered_with_test,0.7633535935103528,7,b67a58fa,1024.0,Adagrad,0.09146061996943114,2.0,16.0,xavier_normal_,0.0020855781578676875,-0.8573406923636515,,False,7.282382004328354e-13,7.249676881805447e-14,-0.46406586188822985,0.14890356548130512,[],[],2.0
d03489a5,umls,transh,0,search,negative_sampling,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.7864705653278374,8,d39d661d,256.0,Adam,0.016188740337758266,9.0,128.0,normal_,0.05729823199189817,-0.33906465192346835,lp,True,1.0168027555103325e-07,5.7642993766248506e-05,0.06085722707211971,-0.3309104386717081,[],[],1.0
d03489a5,umls,transh,0,search,negative_sampling,valid,120,,,,mean_reciprocal_rank_filtered_with_test,0.5096172028524013,9,ca7017ef,512.0,Adam,0.37075078721758337,6.0,32.0,normal_,1.4947979977895991e-05,-0.028117551107602168,lp,True,6.637325599023263e-19,1.2469394308067056e-09,0.30017608776688576,0.3231646502390504,[],[],1.0
d03489a5,umls,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.6730783380613736,10,208db4c1,128.0,Adagrad,0.0011333548977129828,3.0,512.0,xavier_uniform_,0.05172689258549789,-0.5410816749998089,lp,False,0.0003066759292975376,1.6031138142150214e-18,-0.2089999308809638,-0.12528869789093733,[],[],2.0
d03489a5,umls,reciprocal_relations_model,1,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.6871344911540213,11,20a7c5a2,512.0,Adam,0.02630194622753609,7.0,256.0,xavier_normal_,9.938702790252189e-05,-0.42522293579154646,,False,3.390136345421489e-10,5.073470032725854e-13,0.17943778075277805,0.4033287903293967,[],[],1.0
d03489a5,umls,transh,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2156203100286378,12,ff91b40c,128.0,Adagrad,0.0026245554460621445,5.0,64.0,uniform_,0.004098422280401829,-0.8805723556851875,lp,True,3.884437275524958e-15,0.006375109455048445,-0.33091649506241083,-0.08557978738099337,[],[],2.0
d03489a5,umls,transh,0,search,negative_sampling,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.7946705262353815,13,31f3a1bd,1024.0,Adagrad,0.29073419530590167,0.0,256.0,xavier_uniform_,0.000324449918585208,-0.6897545925043616,lp,True,0.05509297392275685,8.556193015284664e-08,-0.09367277007550001,0.07771195843815804,[],[],2.0
