job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,transe.entity_embedder.regularize_weight,transe.relation_embedder.regularize_weight,transe.entity_embedder.dropout,transe.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg,transe.l_norm,transe.entity_embedder.normalize.p,transe.relation_embedder.normalize.p
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,185,,,,mean_reciprocal_rank_filtered_with_test,0.156151577982428,12,47385391,128.0,Adagrad,0.002355829463643399,5.0,64.0,uniform_,0.0031822451407094838,-0.5651322402094584,lp,True,5.9086273560775655e-15,0.0005189534941232379,-0.3585368040949106,-0.47901246417313814,[],[],7.657318990677595,2.0,2.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,170,,,,mean_reciprocal_rank_filtered_with_test,0.2464633511993869,13,d3c4a13d,1024.0,Adagrad,0.5064419004642043,2.0,512.0,xavier_uniform_,0.000222205959789375,-0.8724484020737465,lp,True,2.1630665982969703e-07,1.1324471577912276e-07,-0.006486841477453709,0.04204616602510214,[],[],6.798002142459154,1.0,2.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1146458756593954,14,aed2becd,256.0,Adam,0.0008378518630949763,8.0,16.0,uniform_,0.5408240345449041,-0.19886160478372128,lp,False,3.2362394268414784e-20,1.5363276834909002e-12,0.29448702838271856,-0.1231010528281331,[],[],1.5297716949135065,2.0,-1.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,265,,,,mean_reciprocal_rank_filtered_with_test,0.2821776090675791,15,6d4fe988,1024.0,Adam,0.0005249551801034686,7.0,64.0,normal_,0.01385854706961011,-0.6825946999225206,lp,True,3.490657953919357e-08,2.953819798319582e-16,-0.3341749608516693,-0.18125884421169758,[],[],1.684418497607112,1.0,2.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0374495637630988,16,b6faf8a9,256.0,Adagrad,0.3123206494571076,3.0,128.0,xavier_normal_,2.7479582328444538e-05,-0.2619541322685871,lp,False,1.5599609754226248e-18,0.06612691321574883,0.12217534333467484,0.23106382228434086,[],[],6.335736066102982,2.0,-1.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,200,,,,mean_reciprocal_rank_filtered_with_test,0.1248600594569789,17,f1727ca7,512.0,Adagrad,0.010698253018751037,0.0,16.0,uniform_,0.13026432898692558,-0.05070636799995787,,False,0.0008198468083278712,2.0126455458742467e-07,0.27012517396360636,-0.2940364871174097,[],[],7.82005500048399,1.0,-1.0,-1.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0242118528707094,18,3387b8ae,128.0,Adam,0.10933102538529206,10.0,512.0,xavier_uniform_,0.000899735567200227,-0.8800494838242792,lp,True,2.6589466790676805e-14,3.3921445366094148e-12,-0.06220169272273779,0.36727886088192463,[],[],2.543851872906089,2.0,2.0,2.0
a6fc3301,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0188816876570519,19,25b11cdf,512.0,Adagrad,0.002060232975190747,1.0,256.0,normal_,0.4387150261605303,-0.4519501865831297,lp,True,1.0219182356410105e-17,1.3620464866266802e-20,0.1742138648405671,-0.3929263027384877,[],[],9.685450633987784,2.0,-1.0,2.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0586029113647704,20,b43c189c,128.0,Adam,0.7313457100121904,9.0,32.0,xavier_uniform_,0.0006004843795946597,-0.6172221881212294,lp,False,5.325052344529234e-09,1.897501119956696e-06,-0.3997169127687812,0.4446842735633254,[],[],4.955512098968029,1.0,2.0,-1.0
a6fc3301,fb15k-237,transe,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1674597791025092,21,27e39db6,1024.0,Adam,0.005837395567265735,6.0,256.0,xavier_uniform_,0.01324368829057944,-0.8201701109558717,,False,2.4520047929332146e-13,3.9053394940047036e-10,-0.23516599833965302,-0.006680612452328205,[],[],0.8148311078548431,2.0,2.0,2.0
