job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,rotate.entity_embedder.regularize_weight,rotate.relation_embedder.regularize_weight,rotate.entity_embedder.dropout,rotate.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,rotate.l_norm
34cf00af,umls,rotate,1,search,negative_sampling,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.5805101921221961,6,502a98b8,1024.0,Adagrad,0.29073419530590167,0.0,256.0,xavier_uniform_,0.000324449918585208,-0.6897545925043616,lp,True,0.05509297392275685,8.556193015284664e-08,-0.09367277007550001,0.07771195843815804,[],[],2.0
34cf00af,umls,reciprocal_relations_model,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2104969843764978,12,f3024e68,256.0,Adam,0.0005039572472289293,9.0,16.0,uniform_,0.8183409601412446,-0.23886259806561283,lp,False,2.0778380916773143e-16,6.661179716943346e-18,0.4321844354271889,-0.3800801634788513,[],[],1.0
34cf00af,umls,reciprocal_relations_model,1,search,negative_sampling,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.4925333970894843,14,8f9595b8,1024.0,Adam,0.0015291820751019583,5.0,64.0,uniform_,0.023773219888508664,-0.8308018481074739,lp,True,0.0006931853793011731,5.9991644056678256e-12,-0.3730218419805169,-0.31030656304210424,[],[],1.0
34cf00af,umls,rotate,0,search,negative_sampling,valid,170,,,,mean_reciprocal_rank_filtered_with_test,0.1243957917383112,16,56905121,256.0,Adagrad,0.8329500058302046,3.0,512.0,xavier_normal_,3.228267574243813e-05,-0.34804839021257117,lp,False,4.9252947721816094e-18,0.07656809722664533,0.14903354085981846,0.24158099759370089,[],[],2.0
34cf00af,umls,rotate,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.330876894523761,17,a7201d9f,512.0,Adagrad,0.00791694480558782,1.0,16.0,uniform_,0.12971620601896003,-0.0347971011799294,,False,8.921869408823607e-10,1.679655647927404e-06,0.39616478234529495,-0.23370554111897945,[],[],2.0
34cf00af,umls,reciprocal_relations_model,0,search,negative_sampling,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.6606932095954755,21,7345faae,128.0,Adam,0.074615134281065,10.0,256.0,normal_,0.0009081479854409826,-0.5207834789526369,lp,True,2.0866193727464105e-14,1.3435890178128604e-16,-0.11014353018254042,0.28705030493438244,[],[],1.0
34cf00af,umls,reciprocal_relations_model,1,search,negative_sampling,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.6005117966353528,18,16c3e541,512.0,Adagrad,0.0004222913785430221,0.0,128.0,normal_,0.3628765636383181,-0.38695085573093035,lp,True,3.2528998380655437e-20,6.133602113160367e-15,0.017043789848685265,-0.055393535643815994,[],[],2.0
34cf00af,umls,rotate,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1015466093285683,19,2f264b6c,128.0,Adam,0.147472324484403,8.0,16.0,xavier_uniform_,0.0007375528358843556,-0.9325088576300722,lp,False,1.8665872834054065e-06,4.797406694384094e-06,-0.4883675994351506,0.4864238426089287,[],[],1.0
34cf00af,umls,rotate,0,search,negative_sampling,valid,90,,,,mean_reciprocal_rank_filtered_with_test,0.1505667446581132,20,cf912426,1024.0,Adam,0.006068060310637754,7.0,512.0,xavier_uniform_,0.008989902468944105,-0.7471688108345214,,False,7.42536444474787e-12,6.349267569402297e-11,-0.24331149365752935,-0.47867042664438486,[],[],1.0
34cf00af,umls,reciprocal_relations_model,1,search,negative_sampling,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.8062861155878547,23,e85d7bad,256.0,Adagrad,0.03674288635288361,4.0,32.0,xavier_normal_,4.6003362618042886e-05,-0.19898822706605301,lp,True,1.409998644795365e-07,7.95114019183807e-20,0.27760282531380653,0.0317710367962718,[],[],2.0
34cf00af,umls,reciprocal_relations_model,1,search,negative_sampling,valid,65,,,,mean_reciprocal_rank_filtered_with_test,0.5373415800691382,26,5e283842,512.0,Adam,0.2792511582393419,3.0,32.0,xavier_uniform_,0.00014591274009680878,-0.06826162204584107,lp,False,8.115492228079469e-05,0.00014176220942298208,-0.43203514255583286,-0.35069855116307735,[],[],2.0
34cf00af,umls,rotate,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.6835826569539638,25,f90e46be,128.0,Adagrad,0.0007980002437624489,6.0,512.0,uniform_,0.005752655077024884,-0.6125364717091992,lp,True,1.8135734471220647e-19,1.1516007380273805e-14,0.09278160613030195,0.16966831497848034,[],[],1.0
34cf00af,umls,rotate,0,search,negative_sampling,valid,60,,,,mean_reciprocal_rank_filtered_with_test,0.2211737135436637,28,5442286e,1024.0,Adagrad,0.01939428352076008,10.0,32.0,normal_,0.000231150817126529,-0.801523198513072,lp,True,2.5765327891282294e-08,1.6611948807263577e-19,0.3302693823352456,-0.1772919436916709,[],[],1.0
34cf00af,umls,reciprocal_relations_model,0,search,negative_sampling,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.833735647377061,29,a1a2ad9f,256.0,Adam,0.003209548979484602,2.0,128.0,xavier_uniform_,0.5574025898508653,-0.25205850884404035,,False,1.749250403747729e-13,2.000283153323625e-09,-0.1790444366633892,0.37419137824326754,[],[],2.0
34cf00af,umls,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.773380162525762,22,87a51837,1024.0,Adagrad,0.5665211469987805,9.0,128.0,normal_,0.0029171141472166292,-0.6517581727872974,lp,False,5.4401130510589845e-17,0.0006064659163480548,0.20989213790744543,-0.09609056357294321,[],[],1.0
34cf00af,umls,rotate,1,search,negative_sampling,valid,265,,,,mean_reciprocal_rank_filtered_with_test,0.7293552328472489,27,50c601ad,256.0,Adam,0.0010421654012433602,0.0,16.0,xavier_uniform_,0.08382625296126488,-0.16967752911970013,lp,True,0.015215183589742054,7.47261543861474e-13,-0.3003262486308813,0.41481617372483015,[],[],2.0
34cf00af,umls,rotate,1,search,negative_sampling,valid,260,,,,mean_reciprocal_rank_filtered_with_test,0.8484996023353624,31,29b53484,512.0,Adam,0.10965154814009033,5.0,256.0,uniform_,1.0217491396626957e-05,-0.4787935935586132,lp,True,9.738424093360217e-16,1.784276788420849e-17,-0.06125161796808243,-0.4228060431778431,[],[],2.0
34cf00af,umls,reciprocal_relations_model,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.0925194149368379,24,6c7b6c6d,128.0,Adagrad,0.011610881638777666,7.0,64.0,normal_,0.036982071458846195,-0.9654537392234057,,False,8.230648977078117e-11,1.4804155453879403e-08,0.4647138388827443,0.11946135014295578,[],[],1.0
34cf00af,umls,reciprocal_relations_model,0,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.5211548132399109,32,cdb2c923,1024.0,Adam,0.023106137720012333,0.0,128.0,xavier_uniform_,0.0765708733457771,-0.12775691294343205,lp,True,1.1717927130040363e-15,2.9267235967987483e-07,0.38135422486811876,0.1332999812439084,[],[],2.0
