,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize_args.weighted,job_type_dummy:1vsAll,job_type_dummy:KvsAll,job_type_dummy:negative_sampling,train.optimizer_dummy:Adagrad,train.optimizer_dummy:Adam,lookup_embedder.initialize_dummy:normal_,lookup_embedder.initialize_dummy:uniform_,lookup_embedder.initialize_dummy:xavier_normal_,lookup_embedder.initialize_dummy:xavier_uniform_,loss_func_dummy:bce,loss_func_dummy:kl,loss_func_dummy:margin_ranking
train.batch_size,,0.005415460097966777,0.00501009272461883,0.005107066616870235,0.005008017603744504,0.005114958748510145,0.004964650229863291,0.0049660769814129585,0.005006442111404518,0.004975974596326701,0.004965766143425024,0.005000081560268773,0.004882303908634483,0.005048470835065661,0.00496522171640543,0.0048838289111590265,0.005551881204196315,0.004892476313274376,0.0053210195524024525
train.optimizer_args.lr,,,0.024232137649021424,0.02442905470334428,0.024341552657813712,0.024238774361343866,0.024861064579041903,0.024303426845999024,0.024202818734663817,0.024216066206990197,0.024142892293066005,0.024049565091300202,0.024642268051540184,0.02565498436871101,0.023838182450632146,0.023993262997016047,0.025743852549645712,0.023363769048625208,0.026787885374848684
train.lr_scheduler_args.patience,,,,3.875381799393989e-06,1.1501031268666852e-05,1.0157632484137345e-06,7.688206534033042e-06,3.875381799394068e-06,7.68820653403048e-06,7.688206534030814e-06,4.351984891224083e-06,7.688206534030672e-06,7.688206534030646e-06,7.688206534030555e-06,1.8650077646111687e-05,7.68820653403042e-06,7.688206534029467e-06,2.0669677429829034e-05,2.0669677429846737e-05
lookup_embedder.dim,,,,,0.01603800400031543,0.01604469983676673,0.016257864228941862,0.015920990401872455,0.015871272279087238,0.01590987430691428,0.015945596673638696,0.01590051378322995,0.01588224745320095,0.016772272866165307,0.015863908682016044,0.016027237322508825,0.018470768524422823,0.016512412458360305,0.019891554970584757
lookup_embedder.initialize_args.normal_.std,,,,,,0.006068739751527095,0.006360269230451461,0.006074451367365887,0.006043308603482439,0.006035151442077833,0.00608183288586387,0.0060662625061567305,0.0060076329684303174,0.006161376101878062,0.0060406378798208695,0.006077823212504337,0.007029581550643866,0.005984921224073788,0.006620420363278356
lookup_embedder.initialize_args.uniform_.a,,,,,,,0.011033418083813043,0.011048968728249963,0.01109864631947042,0.01106717148267092,0.01108825874517361,0.010965423188940034,0.011329883523094062,0.011083882995207224,0.011696106711991516,0.011253851396004157,0.011272703779373342,0.01094125375786164,0.011370411747750789
lookup_embedder.regularize_args.weighted,,,,,,,,0.019488187373156787,0.01926421711003851,0.019539657821653286,0.019372220818148902,0.019340175410751,0.019055905727671463,0.01956895798607185,0.019698818695746766,0.019457244723269318,0.020223347973594045,0.02013720471317949,0.021603866278411942
job_type_dummy:1vsAll,,,,,,,,,0.0039450834754500225,0.003952283528744011,0.003965319045434789,0.003922440554243995,0.004036720649169529,0.003938987802542011,0.004070208052776196,0.003987438344797168,0.004324559162294073,0.0036156581306567345,0.00401457269176495
job_type_dummy:KvsAll,,,,,,,,,,0.005434371661562215,0.005488344791418055,0.0054949988992753435,0.005558580867303274,0.0052126495005273416,0.00556726162119045,0.005490193774611854,0.005768925145206321,0.005591902070594344,0.005904249883106
job_type_dummy:negative_sampling,,,,,,,,,,,0.0028003174378915573,0.0027314421008345895,0.002701615210639717,0.00276751804973215,0.002754217284780412,0.0027057138762825133,0.0030271588838605605,0.0029520160110818494,0.0027887970121876562
train.optimizer_dummy:Adagrad,,,,,,,,,,,,0.005708355162723478,0.005516691616948773,0.005706842312669841,0.005740707018182724,0.005727649348017022,0.005258564259289983,0.00591563242918584,0.006056207723775591
train.optimizer_dummy:Adam,,,,,,,,,,,,,0.005144609915079262,0.005236211692063878,0.005228990779910759,0.0051539702754620454,0.0051996833459442135,0.005189852665556535,0.005013647415723046
lookup_embedder.initialize_dummy:normal_,,,,,,,,,,,,,,0.014053262150971847,0.014269532735557446,0.014142276185179242,0.01403213225654441,0.014659352072313022,0.014838180935985846
lookup_embedder.initialize_dummy:uniform_,,,,,,,,,,,,,,,0.02154845998921246,0.021996579550838165,0.022048579884956145,0.022824166025857,0.021295933765893987
lookup_embedder.initialize_dummy:xavier_normal_,,,,,,,,,,,,,,,,0.010208242433492392,0.009288320605959223,0.009898506937700379,0.010073984590774356
lookup_embedder.initialize_dummy:xavier_uniform_,,,,,,,,,,,,,,,,,0.010477812607660996,0.010199006068879902,0.009584536243507228
loss_func_dummy:bce,,,,,,,,,,,,,,,,,,0.04584212003727286,0.04532274619005507
loss_func_dummy:kl,,,,,,,,,,,,,,,,,,,0.03925325645684536
loss_func_dummy:margin_ranking,,,,,,,,,,,,,,,,,,,
