,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize_args.weighted,job_type_dummy:1vsAll,job_type_dummy:KvsAll,job_type_dummy:negative_sampling,train.optimizer_dummy:Adagrad,train.optimizer_dummy:Adam,lookup_embedder.initialize_dummy:normal_,lookup_embedder.initialize_dummy:uniform_,lookup_embedder.initialize_dummy:xavier_normal_,lookup_embedder.initialize_dummy:xavier_uniform_,loss_func_dummy:bce,loss_func_dummy:kl,loss_func_dummy:margin_ranking
train.batch_size,,0.011302203617215161,0.011374677988359661,0.011257957832081104,0.011853164810188747,0.012324511512913644,0.011258490711576398,0.010926492073903084,0.011655684809897258,0.011037854793130663,0.011262907784437583,0.01134104521100002,0.011355324795290833,0.011572632435775316,0.01129025247876241,0.011664940667166916,0.011954069919563949,0.012514079738528427,0.011167620528138723
train.optimizer_args.lr,,,0.0027731025562734973,0.0027904233032924742,0.0029618837256253816,0.002889812957669472,0.002779614806987142,0.002713175821440988,0.0026635753620583907,0.002734098076572673,0.0028115343640071184,0.002824926305591275,0.0027757846157165844,0.0027965472075548604,0.0028121683272537405,0.002878643751542111,0.002844750058665299,0.0030593291131495557,0.0026536478375303405
train.lr_scheduler_args.patience,,,,0.01020345589342899,0.010460643189581254,0.010418154917117006,0.01019277080778319,0.010408333891185041,0.010140402995398387,0.010540727581261872,0.010268686214710391,0.010180233661977699,0.010095359929740482,0.010538482953618119,0.010041249318928504,0.010182387728977308,0.010268989292387017,0.010122534611390867,0.010038734677828407
lookup_embedder.dim,,,,,0.011267412135817079,0.010884951022364147,0.010461137934893717,0.010931952869654196,0.01067918384284426,0.010658426838850888,0.010613384522051768,0.010654365350617425,0.010374751305543314,0.01045093786403972,0.010179810761333419,0.010539645955234893,0.01174714010899478,0.012106184404383966,0.011125867758414369
lookup_embedder.initialize_args.normal_.std,,,,,,0.030959805186276338,0.029886462243465448,0.030582655087978288,0.03055469472837821,0.031365638194734986,0.030110224607922207,0.030434834230297973,0.029394537495279,0.03006767262727739,0.029855022743435367,0.029696593467294898,0.03154390434759673,0.03439487384074771,0.030153837679129773
lookup_embedder.initialize_args.uniform_.a,,,,,,,0.026421498202595785,0.0270792385833801,0.02633149455711102,0.026756531569490524,0.026814245836449185,0.027331105079010706,0.02621299749056854,0.02743691190647539,0.026107003227192824,0.025971972715990055,0.025775230236057968,0.02961793924325856,0.02689539290254942
lookup_embedder.regularize_args.weighted,,,,,,,,0.00212138279237755,0.0021771524208468534,0.0021913643353151813,0.002264791172734892,0.002204929964969533,0.002193771731021317,0.0022607238930976888,0.0021876413785647903,0.0022210351123608607,0.0022297335629634795,0.0023358152384735063,0.002223974641808357
job_type_dummy:1vsAll,,,,,,,,,0.020448843817861433,0.020916279323903726,0.020781896342138926,0.020164204278240415,0.020584842072389503,0.01998462417532029,0.019981183060150627,0.020153741096143703,0.019433202105427854,0.018655504934027192,0.01986496146523878
job_type_dummy:KvsAll,,,,,,,,,,0.024456753274252025,0.025521175930731357,0.026177637058093683,0.025923214780330783,0.02558024753683301,0.025804096422744095,0.026691071785797264,0.027412856119105967,0.02729052900517417,0.02471114915781161
job_type_dummy:negative_sampling,,,,,,,,,,,0.02192839309635929,0.022202540196268383,0.022139071998318105,0.021767143301220475,0.02206564728590002,0.02270264462619433,0.02128169675585254,0.022310208072173116,0.02129691401494192
train.optimizer_dummy:Adagrad,,,,,,,,,,,,0.01460935432243813,0.014730492768199863,0.015123920830371033,0.014692993942830192,0.014995240303437928,0.01557454889649501,0.01518470854202055,0.014899135228808464
train.optimizer_dummy:Adam,,,,,,,,,,,,,0.014642685287781006,0.01500633489616645,0.014421685574707539,0.014886656109425305,0.016058997002319643,0.014990954308968886,0.014148935822264464
lookup_embedder.initialize_dummy:normal_,,,,,,,,,,,,,,0.010091747511044373,0.010166524846358226,0.010011971745211819,0.010401565523722185,0.009723318936918782,0.00994693066380896
lookup_embedder.initialize_dummy:uniform_,,,,,,,,,,,,,,,0.018802459345818943,0.018809314636933375,0.01758179677847234,0.018188334327922478,0.01811746167969801
lookup_embedder.initialize_dummy:xavier_normal_,,,,,,,,,,,,,,,,0.009854352205802054,0.009822900003230597,0.010009704531110714,0.009739117879442451
lookup_embedder.initialize_dummy:xavier_uniform_,,,,,,,,,,,,,,,,,0.014955186532406819,0.014887348988654124,0.013857341595980292
loss_func_dummy:bce,,,,,,,,,,,,,,,,,,0.038874226372677054,0.042175023754275794
loss_func_dummy:kl,,,,,,,,,,,,,,,,,,,0.04357561718355741
loss_func_dummy:margin_ranking,,,,,,,,,,,,,,,,,,,
