,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize_args.weighted,job_type_dummy:1vsAll,job_type_dummy:KvsAll,job_type_dummy:negative_sampling,train.optimizer_dummy:Adagrad,train.optimizer_dummy:Adam,lookup_embedder.initialize_dummy:normal_,lookup_embedder.initialize_dummy:uniform_,lookup_embedder.initialize_dummy:xavier_normal_,lookup_embedder.initialize_dummy:xavier_uniform_,loss_func_dummy:bce,loss_func_dummy:kl,loss_func_dummy:margin_ranking
train.batch_size,,0.0025487287480349865,0.0025487534260506123,0.0025484756891084037,0.0025488431460004846,0.002574673752241949,0.0025483761397372255,0.0015803581983545381,0.0031452223282579864,0.0023247624607953717,0.002313638111860897,0.0026957932345632925,0.002359163611471463,0.0023150194853433434,0.0021470009610536265,0.003399789830230062,0.00120899638239097,0.003100446213468583,0.0031135306574032228
train.optimizer_args.lr,,,-0.00033797167180208386,-0.0003478202668283775,-0.0003458250665787366,-0.0003443400163272714,-0.00034579202881715194,-0.00021560129649262835,-0.00023168909054421122,-0.0003083797608908548,-0.00041050501277751367,-0.000325291023977891,-0.0001737731110265958,-0.0005117101935653359,-0.0003247455968493476,-0.00033459410072034755,-0.0004308254949084156,-0.0003158210544144946,-0.00036905870848244265
train.lr_scheduler_args.patience,,,,0.0038629445210915415,0.0038633876697445613,0.0038641930071364045,0.003863022386648022,0.0038764707124636505,0.003164028061103892,0.004496807448077823,0.004275035002613279,0.0038111264637335548,0.003500089673447171,0.0037725351423841674,0.0035182843323043294,0.0039514088009370285,0.0030987324475081623,0.0036231720480236485,0.003059110721347117
lookup_embedder.dim,,,,,-0.0034639729125546526,-0.0034668397686922203,-0.0034610814451506446,-0.0035457094689969187,-0.0037166993246797453,-0.0033863554980899276,-0.003265549453220518,-0.0032116095933776723,-0.0032957140300499694,-0.0036913713792773375,-0.0034001193947889676,-0.0030649789214198045,-0.003628776869043726,-0.001949739457144689,-0.002067091534320476
lookup_embedder.initialize_args.normal_.std,,,,,,-0.0009801620530517918,-0.0009801620530518244,-0.0006242764496205457,-0.0028271851294263198,-0.00010320463172517821,-0.0011746301367661482,-0.0007265334980872552,-0.00022640443026009614,-0.0011202445008402367,-0.0003892811845432214,-0.002188606949019154,-0.0028459116590368316,-0.005718509117284248,0.001318838880032252
lookup_embedder.initialize_args.uniform_.a,,,,,,,0.0032657786784553258,0.0035452635332416903,0.0018428612710617506,0.0026086994876015103,0.003286695387665588,0.003418631553453814,0.0017833375550777523,0.0011456446038201479,0.0038685122987815435,0.0012130116251015365,0.0029100940070814207,0.0001511143758790856,0.005187370708079169
lookup_embedder.regularize_args.weighted,,,,,,,,0.00021439678753050646,0.00022055452801952868,0.00021319834790795023,0.00021319834790792767,0.00021319834790795716,0.00019793605747598546,0.0003543988275443166,0.00024785208295636943,0.00018616478521868256,0.00017334876310165503,0.0002530479327143842,0.0001733487631015553
job_type_dummy:1vsAll,,,,,,,,,0.021024775417765713,0.01017208223642177,0.005239143573514656,0.0020352240812687526,0.002365618207943701,-0.0022628902409686097,0.0022528626780860587,0.003064043988469215,0.000734404486075424,0.003272072482189442,0.004803813098458902
job_type_dummy:KvsAll,,,,,,,,,,0.03328894231263589,0.012781928807477286,0.0071385632354522745,0.007458726172041902,0.006664425567828154,0.0059606383637462925,0.006893160178426342,0.009571029688749677,0.00775128699671207,-0.0024423109002911217
job_type_dummy:negative_sampling,,,,,,,,,,,0.02905561863997362,0.029754364085932794,0.02826359465329005,0.02549632523819728,0.027075415275292496,0.029676975977787522,0.02132056537193816,0.017282657898850445,0.015874148659305854
train.optimizer_dummy:Adagrad,,,,,,,,,,,,0.009720121251705903,-0.005215545590384082,-0.002390920052037747,-0.007155513000834628,-0.0037902934562173366,-0.002262032047057383,0.003139628033639097,-0.00784374746377707
train.optimizer_dummy:Adam,,,,,,,,,,,,,-0.0015398306518191393,-0.0014875803610148244,-0.004365540461507486,-0.0028899604565694025,-0.007953819741049459,-0.003992602348538737,-0.005252989700701266
lookup_embedder.initialize_dummy:normal_,,,,,,,,,,,,,,0.0025392196616519994,-0.0012928596766650655,-0.00026464990022266946,-0.00023203850038513996,-0.0025069788928947234,-0.001484279047480449
lookup_embedder.initialize_dummy:uniform_,,,,,,,,,,,,,,,-0.001803550150734678,0.00019535701687172988,-0.006082974123335819,-0.009769699783558655,-0.005570985822005696
lookup_embedder.initialize_dummy:xavier_normal_,,,,,,,,,,,,,,,,0.005498704337737217,0.0023529613159495033,0.002441963144131143,0.00036787188257335
lookup_embedder.initialize_dummy:xavier_uniform_,,,,,,,,,,,,,,,,,-0.0024104815824327053,-0.0008678419449461572,-0.002981407983243943
loss_func_dummy:bce,,,,,,,,,,,,,,,,,,0.07736541956534243,0.04498857758062846
loss_func_dummy:kl,,,,,,,,,,,,,,,,,,,0.03176695623051317
loss_func_dummy:margin_ranking,,,,,,,,,,,,,,,,,,,
