dataset,parameter,s1_value,s1_conf,st_value,st_conf,possible_interaction
wn18rr,job_type_dummy:KvsAll,0.05506902272426593,0.019233931781884414,0.10850782608704607,0.0080005805100502,True
wn18rr,job_type_dummy:negative_sampling,0.01798555729539404,0.01583923095726229,0.06944444436300969,0.007855596076305232,True
wn18rr,train.optimizer_dummy:Adagrad,0.013448799069669044,0.011188593736197091,0.03321814277913054,0.002489395317670062,True
wn18rr,train.optimizer_dummy:Adam,0.014432493232056408,0.010353824001041952,0.03273249741686256,0.002438558327234679,True
wn18rr,lookup_embedder.initialize_dummy:normal_,-0.0026608559613614195,0.006957138301721784,0.013210658877425096,0.0015619211568176437,True
wn18rr,lookup_embedder.initialize_dummy:uniform_,0.0337888758634778,0.012109226324178284,0.04868913036158092,0.0032470051972238716,False
wn18rr,lookup_embedder.initialize_dummy:xavier_normal_,0.001097608761803414,0.006989462280670615,0.013925857793834354,0.001707025594162167,True
wn18rr,lookup_embedder.initialize_dummy:xavier_uniform_,0.012681233430428377,0.010406870237684373,0.027273088985091967,0.003177912966755183,True
wn18rr,loss_func_dummy:bce,0.12847627076871773,0.029019966988246607,0.28788686816304865,0.02126489099235265,True
wn18rr,loss_func_dummy:kl,0.1374012508730824,0.03012653694445171,0.28020988501203403,0.02484986814449421,True
wn18rr,loss_func_dummy:margin_ranking,-0.0019947989373743863,0.017684486274727528,0.11565542007941602,0.00832361470385808,True
fb15k-237,train.batch_size,0.03576624984006313,0.011113450001349246,0.03583977001325301,0.002117477600359654,False
fb15k-237,train.optimizer_args.lr,1.7315338896528546e-05,0.00023070215679164434,1.6282210124209405e-05,9.936806641854097e-07,False
fb15k-237,train.lr_scheduler_args.patience,0.42067750890699107,0.03321335305802052,0.41998133395429943,0.02504124898037613,False
fb15k-237,lookup_embedder.dim,0.1343592028719542,0.01982760408836117,0.13806461037624274,0.009852490714096806,False
fb15k-237,lookup_embedder.initialize_args.normal_.std,0.05848585180392176,0.014616286143696111,0.05996386850844481,0.0038391246432247987,False
fb15k-237,lookup_embedder.initialize_args.uniform_.a,0.023617768219572052,0.008547811658853568,0.024212757385258632,0.001648959761599615,False
fb15k-237,lookup_embedder.regularize_args.weighted,0.00019802732438638283,0.001330277320940353,0.0005212929903045468,2.8514711400334544e-05,False
fb15k-237,job_type_dummy:1vsAll,0.0738057080362494,0.020094067296004853,0.1299397974877659,0.009165422888747424,True
fb15k-237,job_type_dummy:KvsAll,0.004687273943269955,0.01550779532702206,0.05517567230192419,0.005700506634825964,True
fb15k-237,job_type_dummy:negative_sampling,0.022075759247618554,0.015735611783743997,0.07919277935527899,0.008327290917810894,True
fb15k-237,train.optimizer_dummy:Adagrad,0.016071536140669147,0.008527035101949484,0.024134975575737943,0.0015538445526287116,False
fb15k-237,train.optimizer_dummy:Adam,0.011428242826789234,0.00804933049980473,0.02378212505562482,0.0017667674383941765,True
fb15k-237,lookup_embedder.initialize_dummy:normal_,0.043811546832118076,0.016795693028453414,0.08821134601422134,0.007066875242383656,True
fb15k-237,lookup_embedder.initialize_dummy:uniform_,0.02255862066394336,0.014133182543833916,0.05016274741028448,0.005843492411197867,True
fb15k-237,lookup_embedder.initialize_dummy:xavier_normal_,0.0055351522631349745,0.009223111858158365,0.02740576246098892,0.003455498289910327,True
fb15k-237,lookup_embedder.initialize_dummy:xavier_uniform_,0.005133776636916672,0.01059609659214242,0.026161573964772256,0.0032012344443188134,True
fb15k-237,loss_func_dummy:bce,9.004418603402866e-05,0.0029549521772687685,0.0023603495311279735,0.00019694816023436973,False
fb15k-237,loss_func_dummy:kl,0.0009432972809991463,0.002859403300596376,0.0022974068769645623,0.00020014766370375343,False
fb15k-237,loss_func_dummy:margin_ranking,6.951247288395395e-05,0.0018790868727846942,0.0009482447681574957,7.302973120011274e-05,False
