dataset,parameter,s1_value,s1_conf,st_value,st_conf,possible_interaction
umls,train.batch_size,0.002453546349069641,0.0035891272436345545,0.00358839624272601,0.00022526622300741617,False
umls,train.optimizer_args.lr,0.06486840091342445,0.016165234697573944,0.06484783104976344,0.0041355315059816095,False
umls,train.lr_scheduler_args.patience,0.0,0.0,0.0,0.0,False
umls,lookup_embedder.dim,0.04938930379256704,0.012752386151379842,0.04410832145680815,0.0026328737182117843,False
umls,lookup_embedder.initialize_args.normal_.std,0.0034559662245637573,0.004272814149679292,0.005272965307148732,0.0003078161853726637,False
umls,lookup_embedder.initialize_args.uniform_.a,0.015991875774652484,0.007946791626505054,0.016434357293742517,0.000992632207772195,False
umls,lookup_embedder.regularize_args.weighted,0.04743331144371327,0.013720199161698816,0.0529241645093568,0.002744999151381084,False
umls,job_type_dummy:1vsAll,0.00018532468893421805,0.0029670383861475735,0.0023154169710264518,0.00022237958123980317,False
umls,job_type_dummy:KvsAll,-0.0010181414328662866,0.003751626724733055,0.003154367754137875,0.00022677068547298363,True
umls,job_type_dummy:negative_sampling,-0.00042433489684490445,0.0019667398639391788,0.001319138874621782,9.960346014705035e-05,False
umls,train.optimizer_dummy:Adagrad,0.0009427491130011286,0.0040993905776569965,0.004042555447033004,0.00027445423963151644,False
umls,train.optimizer_dummy:Adam,0.0014841611533098747,0.0034634754082612964,0.003945748502015562,0.00025647664259521614,False
umls,lookup_embedder.initialize_dummy:normal_,0.010455652882129756,0.009691954531841681,0.028676909757670177,0.003171577684051903,True
umls,lookup_embedder.initialize_dummy:uniform_,0.024143672286245886,0.01492704577199711,0.05377837360565641,0.004158090086697867,True
umls,lookup_embedder.initialize_dummy:xavier_normal_,0.0023313083994688103,0.0073226907729310045,0.015210743152945896,0.0020566512067562103,True
umls,lookup_embedder.initialize_dummy:xavier_uniform_,0.00016421759412258392,0.006523809306557458,0.015019950127534036,0.0019130476256266297,True
umls,loss_func_dummy:bce,0.17656626474901857,0.03981424016692243,0.378184633028108,0.03848420812169875,True
umls,loss_func_dummy:kl,0.010608672356334128,0.029445936526680344,0.19764359131471476,0.018027462533752835,True
umls,loss_func_dummy:margin_ranking,0.26092797185439875,0.043005693206349255,0.5151787694552346,0.033708363234080545,True
wn18rr,train.batch_size,0.01754683331148313,0.007724326226154211,0.018729276772582282,0.0011577552335062928,False
wn18rr,train.optimizer_args.lr,0.0009265498874799443,0.0018666793966652883,0.0008437477946275237,5.6131113880360886e-05,False
wn18rr,train.lr_scheduler_args.patience,0.009700816926968139,0.006932735861865728,0.011462881215023497,0.0007382425646389443,False
wn18rr,lookup_embedder.dim,0.018458892435713033,0.008019377072933289,0.01615747990280769,0.001013979413560222,False
wn18rr,lookup_embedder.initialize_args.normal_.std,0.15836956971031713,0.02313574364677068,0.15803747995449882,0.009685596554483316,False
wn18rr,lookup_embedder.initialize_args.uniform_.a,0.07410817942851053,0.017619228857036096,0.07452877328682159,0.004817807667465878,False
wn18rr,lookup_embedder.regularize_args.weighted,0.00037174511902766016,0.0013146776031731694,0.0006089684878603035,3.5041514708004515e-05,False
wn18rr,job_type_dummy:1vsAll,0.007865365356087815,0.013029988851161129,0.04744113519426204,0.004581851218494171,True
