dataset,model,training method,loss function
UMLS,rotate,negative_sampling,bce
UMLS,transformer,KvsAll,bce
UMLS,transh,negative_sampling,bce
UMLS,transh,negative_sampling,margin_ranking
UMLS,simple,negative_sampling,margin_ranking
UMLS,transh,negative_sampling,kl
UMLS,rotate,negative_sampling,margin_ranking
UMLS,cp,1vsAll,bce
UMLS,transh,1vsAll,bce
UMLS,complex,negative_sampling,kl
UMLS,conve,KvsAll,bce
UMLS,rotate,KvsAll,kl
UMLS,relational_tucker3,negative_sampling,margin_ranking
UMLS,distmult,KvsAll,kl
UMLS,rotate,KvsAll,bce
UMLS,transformer,1vsAll,kl
UMLS,complex,KvsAll,kl
UMLS,conve,negative_sampling,margin_ranking
UMLS,complex,KvsAll,bce
UMLS,complex,negative_sampling,bce
UMLS,relational_tucker3,1vsAll,bce
UMLS,simple,negative_sampling,bce
UMLS,distmult,negative_sampling,margin_ranking
UMLS,simple,1vsAll,bce
UMLS,conve,negative_sampling,bce
UMLS,rotate,1vsAll,kl
UMLS,relational_tucker3,negative_sampling,bce
UMLS,distmult,KvsAll,bce
UMLS,distmult,1vsAll,kl
UMLS,rescal,KvsAll,bce
UMLS,conve,negative_sampling,kl
UMLS,distmult,negative_sampling,bce
UMLS,rescal,negative_sampling,bce
UMLS,distmult,negative_sampling,kl
UMLS,cp,negative_sampling,kl
UMLS,complex,1vsAll,kl
UMLS,transformer,KvsAll,kl
WN18RR,simple,KvsAll,bce
WN18RR,cp,negative_sampling,bce
WN18RR,cp,negative_sampling,margin_ranking
WN18RR,cp,1vsAll,kl
WN18RR,relational_tucker3,negative_sampling,kl
WN18RR,rescal,1vsAll,kl
WN18RR,transh,1vsAll,kl
WN18RR,transe,negative_sampling,margin_ranking
WN18RR,relational_tucker3,1vsAll,kl
WN18RR,rescal,1vsAll,bce
WN18RR,transe,negative_sampling,kl
WN18RR,complex,negative_sampling,margin_ranking
WN18RR,distmult,1vsAll,bce
WN18RR,transformer,negative_sampling,kl
WN18RR,conve,1vsAll,kl
WN18RR,simple,negative_sampling,kl
WN18RR,rotate,negative_sampling,kl
WN18RR,simple,1vsAll,kl
WN18RR,transformer,1vsAll,bce
WN18RR,transh,KvsAll,kl
WN18RR,rescal,KvsAll,kl
WN18RR,conve,1vsAll,bce
WN18RR,relational_tucker3,KvsAll,kl
WN18RR,transh,KvsAll,bce
WN18RR,rescal,negative_sampling,kl
WN18RR,cp,KvsAll,kl
WN18RR,cp,KvsAll,bce
WN18RR,rotate,1vsAll,bce
WN18RR,transformer,negative_sampling,margin_ranking
WN18RR,simple,KvsAll,kl
WN18RR,relational_tucker3,KvsAll,bce
WN18RR,complex,1vsAll,bce
WN18RR,conve,KvsAll,kl
WN18RR,transformer,negative_sampling,bce
WN18RR,rescal,negative_sampling,margin_ranking
WN18RR,rotate,negative_sampling,bce
WN18RR,transformer,KvsAll,bce
WN18RR,transh,negative_sampling,bce
WN18RR,transh,negative_sampling,margin_ranking
WN18RR,simple,negative_sampling,margin_ranking
WN18RR,transh,negative_sampling,kl
WN18RR,rotate,negative_sampling,margin_ranking
WN18RR,cp,1vsAll,bce
WN18RR,transh,1vsAll,bce
WN18RR,complex,negative_sampling,kl
WN18RR,conve,KvsAll,bce
WN18RR,rotate,KvsAll,kl
WN18RR,relational_tucker3,negative_sampling,margin_ranking
WN18RR,distmult,KvsAll,kl
WN18RR,rotate,KvsAll,bce
WN18RR,transformer,1vsAll,kl
WN18RR,complex,KvsAll,kl
WN18RR,conve,negative_sampling,margin_ranking
WN18RR,complex,KvsAll,bce
WN18RR,complex,negative_sampling,bce
WN18RR,relational_tucker3,1vsAll,bce
WN18RR,simple,negative_sampling,bce
WN18RR,distmult,negative_sampling,margin_ranking
WN18RR,simple,1vsAll,bce
WN18RR,conve,negative_sampling,bce
WN18RR,rotate,1vsAll,kl
WN18RR,relational_tucker3,negative_sampling,bce
WN18RR,distmult,KvsAll,bce
WN18RR,distmult,1vsAll,kl
WN18RR,rescal,KvsAll,bce
WN18RR,conve,negative_sampling,kl
WN18RR,distmult,negative_sampling,bce
WN18RR,rescal,negative_sampling,bce
WN18RR,distmult,negative_sampling,kl
WN18RR,cp,negative_sampling,kl
WN18RR,complex,1vsAll,kl
WN18RR,transformer,KvsAll,kl
